event_time,people
2020-02-04 17:17:35,1
2020-02-04 17:22:45,1
2020-02-04 17:22:52,2
2020-02-04 17:23:00,1
2020-07-28 16:25:20,1
2020-07-28 16:25:21,2
2020-07-28 16:25:26,1
2020-07-28 16:25:31,1
2020-07-28 16:25:41,3
2020-07-28 16:25:46,1
2020-07-28 16:25:51,2
2020-07-28 16:25:56,2
2020-07-28 16:26:01,1
2020-08-05 11:09:09,1
2020-08-05 11:09:11,1
2020-08-05 11:09:16,1
2020-08-05 11:09:21,2
2020-08-05 11:09:26,1
2020-08-05 18:30:21,2
2020-08-05 18:30:22,2
2020-08-05 18:30:27,2
2020-08-05 18:30:32,2
2020-08-05 18:30:37,1
2020-08-05 18:30:42,1
2020-08-05 18:30:47,2
2020-08-05 18:30:52,4
2020-08-05 18:30:57,2
2020-08-05 18:31:02,3
2020-08-05 18:31:07,3
2020-08-05 18:31:12,2
2020-08-05 18:31:17,1
2020-08-05 18:31:22,1
2020-08-05 18:31:27,2
2020-08-05 18:31:32,2
2020-08-05 18:31:37,4
2020-08-05 18:31:42,4
2020-08-05 18:31:47,2
2020-08-05 18:31:52,2
2020-08-05 18:31:57,2
2020-08-05 18:32:02,4
2020-08-05 18:32:12,1
2020-08-05 18:32:17,1
2020-08-05 18:32:22,1
2020-08-05 18:32:27,1
2020-08-05 18:32:32,1
2020-08-05 18:32:37,2
2020-08-05 18:32:42,1
2020-08-05 18:32:47,2
2020-08-05 18:32:52,2
2020-08-05 18:32:57,2
2020-08-05 20:03:59,3
2020-08-05 20:04:00,3
2020-08-05 20:04:05,3
2020-08-05 20:04:10,2
2020-08-05 20:04:15,1
2020-08-05 20:04:20,1
2020-08-05 20:04:25,2
2020-08-05 20:04:30,3
2020-08-05 20:04:35,1
2020-08-05 20:04:40,2
2020-08-05 20:04:45,1
2020-08-05 20:04:50,1
2020-08-05 20:04:55,1
2020-08-05 20:05:00,4
2020-08-05 20:05:05,2
2020-08-05 20:05:10,5
2020-08-05 20:05:15,2
2020-08-05 20:05:20,1
2020-08-05 20:05:25,1
2020-08-05 20:05:30,2
2020-08-05 20:05:35,1
2020-08-05 20:05:40,3
2020-08-05 20:05:45,2
2020-08-05 20:05:50,2
2020-08-05 20:05:55,3
2020-08-05 20:06:00,2
2020-08-10 19:34:57,1
2020-08-10 19:34:58,1
2020-08-10 19:35:03,1
2020-08-10 19:35:08,1
2020-08-10 19:35:13,1
2020-08-10 19:35:18,1
2020-08-10 19:35:23,1
2020-08-10 19:35:29,1
2020-08-10 19:35:34,1
2020-08-10 19:35:39,1
2020-08-10 19:35:44,1
2020-08-10 19:35:49,1
2020-08-10 19:35:54,1
2020-08-10 19:35:59,1
2020-08-10 19:36:04,1
2020-08-10 19:36:09,1
2020-08-10 19:36:14,1
2020-08-10 19:36:19,1
2020-08-10 19:36:24,1
2020-08-10 19:36:29,1
2020-08-10 19:36:34,1
2020-08-10 19:36:39,1
2020-08-10 19:36:44,1
2020-08-10 19:36:49,1
2020-08-10 19:36:54,1
2020-08-10 19:36:59,1
2020-08-10 19:37:04,1
2020-08-10 19:37:09,1
2020-08-10 19:37:14,1
2020-08-10 19:37:19,1
2020-08-10 19:37:24,1
2020-08-10 19:37:29,1
2020-08-10 19:37:34,1
2020-08-10 19:37:39,1
2020-08-10 19:37:44,1
2020-08-10 19:37:49,2
2020-08-10 19:37:54,1
2020-08-10 19:37:59,1
2020-08-10 19:38:04,1
2020-08-10 19:38:09,1
2020-08-10 19:38:14,1
2020-08-10 19:38:19,1
2020-08-10 19:38:24,2
2020-08-10 19:38:29,1
2020-08-10 19:38:34,1
2020-08-10 19:38:39,1
2020-08-10 19:38:44,1
2020-08-10 19:38:49,1
2020-08-10 19:38:54,1
2020-08-10 19:38:59,2
2020-08-10 19:39:04,1
2020-08-10 19:39:09,1
2020-08-10 19:39:14,1
2020-08-10 19:39:19,1
2020-08-10 19:39:24,1
2020-08-10 19:39:29,1
2020-08-10 19:39:34,1
2020-08-10 19:39:39,1
2020-08-10 19:39:44,1
2020-08-10 19:39:49,1
2020-08-10 19:39:54,2
2020-08-10 19:39:59,1
2020-08-10 19:40:04,3
2020-08-10 19:40:09,1
